174Yb  174   70  133   44   29    4    7.464605    7.977424
 78   2.783900  -1.0  0   0.00E+00  0 0                          0                      
 79   2.793000  -1.0  0   0.00E+00  0 0                          0                      
 80   2.799200  -1.0  0   0.00E+00  0 0                          0                      
 81   2.808700  -1.0  0   0.00E+00  0 0                          0                      
 82   2.818440  -1.0  0   0.00E+00  0 0                          0                      
 83   2.824200  -1.0  0   0.00E+00  0 0                          0                      
 84   2.839400  -1.0  0   0.00E+00  0 0                          0                      
 85   2.845280  -1.0  0   0.00E+00  0 0                          0                      
 86   2.870000  -1.0  0   0.00E+00  0 0                          0                      
 87   2.882710  -1.0  0   0.00E+00  0 0                          0                      
 88   2.895300  -1.0  0   0.00E+00  0 0                          0                      
 89   2.902310  -1.0  0   0.00E+00  0 0                          0                      
 90   2.908900  -1.0  0   0.00E+00  0 0                          0                      
 91   2.918100  -1.0  0   0.00E+00  0 0                          0                      
 92   2.944400  -1.0  0   0.00E+00  0 0                          0                      
 93   2.965200  -1.0  0   0.00E+00  0 0                          0                      
 94   3.038800  -1.0  0   0.00E+00  0 0                          0                      
 95   3.048900  -1.0  0   0.00E+00  0 0                          0                      
 96   3.062300  -1.0  0   0.00E+00  0 0                          0                      
 97   3.075100  -1.0  0   0.00E+00  0 0                          0                      
 98   3.095500  -1.0  0   0.00E+00  0 0                          0                      
 99   3.122200  -1.0  0   0.00E+00  0 0                          0                      
100   3.136000  -1.0  0   0.00E+00  0 0                          0                      
101   3.162900  -1.0  0   0.00E+00  0 0                          0                      
102   3.174500  -1.0  0   0.00E+00  0 0                          0                      
103   3.210500  -1.0  0   0.00E+00  0 0                          0                      
104   3.217200  -1.0  0   0.00E+00  0 0                          0                      
105   3.236200  -1.0  0   0.00E+00  0 0                          0                      
106   3.267900  -1.0  0   0.00E+00  0 0                          0                      
107   3.314800  -1.0  0   0.00E+00  0 0                          0                      
108   3.349000  -1.0  0   0.00E+00  0 0                          0                      
109   3.355900  -1.0  0   0.00E+00  0 0                          0                      
110   3.383300  -1.0  0   0.00E+00  0 0                          0                      
111   3.395200  -1.0  0   0.00E+00  0 0                          0                      
112   3.410000  -1.0  0   0.00E+00  0 0                          0                      
113   3.445900  -1.0  0   0.00E+00  0 0                          0                      
114   3.461800  -1.0  0   0.00E+00  0 0                          0                      
115   3.479900  -1.0  0   0.00E+00  0 0                          0                      
116   3.491000  -1.0  0   0.00E+00  0 0                          0                      
117   3.519800  -1.0  0   0.00E+00  0 0                          0                      
118   3.553200  -1.0  0   0.00E+00  0 0                          0                      
119   3.597600  -1.0  0   0.00E+00  0 0                          0                      
120   3.602700  -1.0  0   0.00E+00  0 0                          0                      
121   3.614400  -1.0  0   0.00E+00  0 0                          0                      
122   3.648000  -1.0  0   0.00E+00  0 0                          0                      
123   3.655700  -1.0  0   0.00E+00  0 0                          0                      
124   3.692100  -1.0  0   0.00E+00  0 0                          0                      
125   3.725500  -1.0  0   0.00E+00  0 0                          0                      
126   3.733200  -1.0  0   0.00E+00  0 0                          0                      
127   3.757000  -1.0  0   0.00E+00  0 0                          0                      
128   3.772400  -1.0  0   0.00E+00  0 0                          0                      
129   3.886100  -1.0  0   0.00E+00  0 0                          0                      
130   3.895500  -1.0  0   0.00E+00  0 0                          0                      
131   3.901400  -1.0  0   0.00E+00  0 0                          0                      
132   3.918700  -1.0  0   0.00E+00  0 0                          0                      
133   7.465500  -1.0  0   0.00E+00  4 0                          0                      
                                        119      3.868  6.561E-01  6.561E-01  0.000E+00
                                         75      4.716  1.720E-01  1.720E-01  0.000E+00
                                         62      4.918  8.280E-02  8.280E-02  0.000E+00
                                         57      4.963  8.917E-02  8.917E-02  0.000E+00
