169Yb  169   70   93  277   92   12    6.866979    6.352120
  1   0.000000   3.5  1  -1.00E+00  0 0                    7/2+  0                      
  2   0.024199   0.5 -1   4.60E+01  1 0                    1/2-  0                      
                                          1      0.024  0.000E+00  0.000E+00  0.000E+00
  3   0.070882   4.5  1   0.00E+00  1 0                    9/2+  0                      
                                          1      0.071  1.000E+00  1.000E+00  0.000E+00
  4   0.086918   1.5 -1   0.00E+00  1 0                    3/2-  0                      
                                          2      0.063  1.000E+00  1.000E+00  0.000E+00
  5   0.099240   2.5 -1   0.00E+00  2 0                    5/2-  0                      
                                          4      0.012  5.660E-02  5.660E-02  0.000E+00
                                          2      0.075  9.434E-01  9.434E-01  0.000E+00
  6   0.161651   5.5  1   0.00E+00  2 0                   11/2+  0                      
                                          3      0.091  8.029E-01  8.029E-01  0.000E+00
                                          1      0.162  1.971E-01  1.971E-01  0.000E+00
  7   0.191214   2.5 -1   0.00E+00  4 0                    5/2-  0                      
                                          5      0.092  3.932E-02  3.932E-02  0.000E+00
                                          4      0.104  2.959E-02  2.959E-02  0.000E+00
                                          2      0.167  9.724E-04  9.724E-04  0.000E+00
                                          1      0.191  9.301E-01  9.301E-01  0.000E+00
  8   0.243816   3.5 -1   0.00E+00  2 0                    7/2-  0                      
                                          5      0.145  2.963E-01  2.963E-01  0.000E+00
                                          4      0.157  7.037E-01  7.037E-01  0.000E+00
  9   0.264253   4.5 -1   0.00E+00  2 0                    9/2-  0                      
                                          8      0.020  4.209E-03  4.209E-03  0.000E+00
                                          5      0.165  9.958E-01  9.958E-01  0.000E+00
 10   0.269655   6.5  1   0.00E+00  2 0                   13/2+  0                      
                                          6      0.108  6.615E-01  6.615E-01  0.000E+00
                                          3      0.199  3.385E-01  3.385E-01  0.000E+00
 11   0.278597   3.5 -1   0.00E+00  5 0                    7/2-  0                      
                                          8      0.035  6.799E-03  6.799E-03  0.000E+00
                                          7      0.087  8.368E-01  8.368E-01  0.000E+00
                                          5      0.179  1.203E-02  1.203E-02  0.000E+00
                                          3      0.208  1.098E-01  1.098E-01  0.000E+00
                                          1      0.279  3.452E-02  3.452E-02  0.000E+00
 12   0.389527   4.5 -1   0.00E+00  5 0                    9/2-  0                      
                                         11      0.111  6.547E-01  6.547E-01  0.000E+00
                                          7      0.198  2.049E-01  2.049E-01  0.000E+00
                                          6      0.228  6.758E-02  6.758E-02  0.000E+00
                                          3      0.319  2.851E-02  2.851E-02  0.000E+00
                                          1      0.390  4.435E-02  4.435E-02  0.000E+00
 13   0.486944   5.5 -1   0.00E+00  2 0                 (11/2-)  0                      
                                          9      0.223  1.588E-01  1.588E-01  0.000E+00
                                          8      0.243  8.412E-01  8.412E-01  0.000E+00
 14   0.523073   5.5 -1   0.00E+00  2 0                   11/2-  0                      
                                         12      0.134  5.610E-01  5.610E-01  0.000E+00
                                         11      0.244  4.390E-01  4.390E-01  0.000E+00
 15   0.569830   2.5 -1   0.00E+00  6 0                    5/2-  0                      
                                         11      0.291  1.430E-01  1.430E-01  0.000E+00
                                          8      0.326  4.837E-03  4.837E-03  0.000E+00
                                          7      0.379  6.940E-01  6.940E-01  0.000E+00
                                          5      0.471  3.617E-02  3.617E-02  0.000E+00
                                          4      0.483  5.889E-02  5.889E-02  0.000E+00
                                          1      0.570  6.309E-02  6.309E-02  0.000E+00
 16   0.590696   2.5  1   0.00E+00  2 0                  (5/2)+  0                      
                                          3      0.520  2.597E-02  2.597E-02  0.000E+00
                                          1      0.591  9.740E-01  9.740E-01  0.000E+00
 17   0.647280   3.5  1   0.00E+00  3 0                    7/2+  0                      
                                          6      0.486  1.393E-02  1.393E-02  0.000E+00
                                          3      0.576  6.431E-01  6.431E-01  0.000E+00
                                          1      0.647  3.430E-01  3.430E-01  0.000E+00
 18   0.647837   3.5 -1   0.00E+00  6 0                    7/2-  0                      
                                         12      0.258  1.334E-01  1.334E-01  0.000E+00
                                         11      0.369  3.297E-01  3.297E-01  0.000E+00
                                          9      0.384  3.297E-02  3.297E-02  0.000E+00
                                          8      0.404  4.867E-02  4.867E-02  0.000E+00
                                          7      0.457  2.747E-01  2.747E-01  0.000E+00
                                          5      0.549  1.805E-01  1.805E-01  0.000E+00
 19   0.659619   1.5 -1   0.00E+00  4 0                    3/2-  0                      
                                         15      0.090  4.745E-04  4.745E-04  0.000E+00
                                          5      0.560  7.483E-02  7.483E-02  0.000E+00
                                          4      0.573  2.981E-01  2.981E-01  0.000E+00
                                          2      0.635  6.266E-01  6.266E-01  0.000E+00
